height_cm,weight_kg,age,hometown,sport,classification,program
172.7,,31,"Madison, CT",Freestyle Skiing,,Olympian
160.0,,35,"Milton, WI",Wheelchair Basketball,,Paralympian
182.9,,,"Palo Alto, CA",Swimming,,Team USA
195.6,,25,"Tiffin, OH",Team Handball,,Team USA
170.2,,20,"Rockledge, FL",Sled Hockey,,Paralympian
149.9,,19,"Rocklin, CA",Artistic Swimming,,Team USA
193.0,,32,"Huntington Beach, CA",Water Polo,,Olympian
170.2,,34,Tacoma,,,Team USA
172.7,,36,"Yakima, WA",Rugby,,Team USA
149.9,,25,Bakersfield,,,Team USA
195.6,,29,"Grand Rapids, MI",Basketball,,Olympian
180.3,,42,"Grand Rapids, MI",Cycling,,Olympian
175.3,,24,"Eden, UT",Soccer,,Olympian
172.7,,32,Eden Prairie,,,Olympian
205.7,,44,,,,Olympian
167.6,,36,"Colorado Springs, CO",Track and Field,,Olympian
198.1,,38,,Team Handball,,Team USA
180.3,,23,"Tahoe City, CA",Biathlon,,Team USA
165.1,,35,Vollen,Team Handball,,Olympian
162.6,,31,Vollen,Team Handball,,Team USA
188.0,,29,"Moorhead, MN",Ice Hockey,,Olympian
182.9,,36,"Festus, MO",Track and Field,,Olympian
172.7,,39,"Claremont, CA",Para-Cycling,,Paralympian
172.7,,23,"Alexandria, MN",Biathlon,,Team USA
185.4,,83,"Laurel, MS",Track and Field,,Olympian
193.0,,24,"Worcester, MA",Basketball,,Team USA
175.3,,37,"Lafayette, IN",Diving,,Olympian
167.6,,32,"Byhalia, TN",Track and Field,,Olympian
172.7,,25,"Zimmerman, MN",,,Team USA
162.6,,34,"Russellville, AR",Para Track and Field,,Paralympian
198.1,,36,"Honolulu, HI",Volleyball,,Olympian
172.7,,40,"North Reading, MA",Ice Hockey,,Olympian
177.8,,56,"Tacoma, WA",,,Olympian
170.2,,38,"Ocala, FL",Speedskating,,Olympian
195.6,,32,"Santee, CA",Water Polo,,Olympian
165.1,,32,"Lafayette, CA",Shooting,,Team USA
172.7,,32,"Burke, VA",Diving,,Team USA
175.3,,32,"Sandhill, MS",Track and Field,,Olympian
154.9,,32,"South Lake Tahoe, CA",Freestyle Skiing,,Olympian
190.5,,47,Yorba Linda,Volleyball,,Olympian
170.2,,52,"Torrance, CA",Softball,,Olympian
185.4,,25,"Altadena, CA",Tennis,,Team USA
180.3,,32,"Monroe, CT",Para-Cycling,,Paralympian
127.0,,29,"Fort Collins, CO",Para Swimming,,Paralympian
175.3,,35,"Buffalo Grove, IL",Ice Hockey,,Olympian
193.0,,37,"Brighton, CO",Sitting Volleyball,,Team USA
182.9,,33,"Irvine, CA",Wheelchair Rugby,,Paralympian
175.3,,32,"Orlando, FL",Track and Field,,Olympian
165.1,,25,Toledo,Boxing,,Olympian
190.5,,30,"East Lyme, CT",,,Team USA
182.9,,,,,,Team USA
175.3,,38,Madbury,,,Team USA
177.8,,31,"Boca Raton, FL",Tennis,,Olympian
177.8,,,,,,Team USA
167.6,,24,"Pittsburgh, Pa.",Cycling,,Team USA
172.7,,38,"Cordova, TN",,,Team USA
188.0,,47,"Orinda, CA",Volleyball,,Olympian
177.8,,26,"Houghton Lake, MI",Softball,,Team USA
167.6,,32,"Vadnais Heights, MN",Ice Hockey,,Olympian
180.3,,29,"Northport, NY",Para Track and Field,,Paralympian
185.4,,,"Queens, NY",Fencing,,Team USA
160.0,,32,"Mounds View, MN",Para Track and Field,,Team USA
182.9,,38,"Folsom, Calif.",Track and Field,,Team USA
175.3,,24,"San Francisco, CA",Fencing,,Team USA
175.3,,27,"Miami, FL",,,Team USA
188.0,,29,"Grand Rapids, Mich., MI",Track and Field,,Team USA
172.7,,29,"Libertyville, IL",Gymnastics,,Team USA
188.0,,34,"Marine on St. Croix, MN",Racquetball,,Team USA
182.9,,47,Monument,,,Olympian
188.0,,30,"Grand Rapids, MI",Soccer,,Paralympian
167.6,,37,"Park City, UT",Cross-Country Skiing,,Olympian
185.4,,48,Springs,,,Olympian
104.1,,30,"Battle Ground, WA",Wheelchair Rugby,,Paralympian
195.6,,28,"Abilene, TX",Basketball,,Team USA
175.3,,50,"Huntington Beach, CA",Para Alpine Skiing,,Paralympian
182.9,,,"Manhattan Beach, Calif., CA",Volleyball,,Team USA
170.2,,33,"Simons Island, GA",Soccer,,Olympian
198.1,,39,Arradon,Team Handball,,Team USA
167.6,,37,"Robesonia, PA",Field Hockey,,Olympian
170.2,,27,"Fort Collins, CO",Para Track and Field,,Team USA
165.1,,39,"Raeford, NC",Soccer,,Paralympian
193.0,,24,"Beaverton, OR",3x3 Basketball,,Team USA
175.3,,43,Florence,,,Paralympian
175.3,,43,"Florence, MS",Wheelchair Fencing,,Paralympian
160.0,,25,"Gilbert, AZ",Gymnastics,,Olympian
162.6,,26,"Philadelphia, Pa.",Track and Field,,Team USA
182.9,,24,"Manhattan Beach, CA",Ice Hockey,,Olympian
165.1,,24,"Murrieta, CA",Para Swimming,,Team USA
177.8,,32,"Glen Rock, PA",Luge,,Olympian
175.3,,29,"Castle Pines, CO",Para Swimming,,Paralympian
188.0,,29,"Bloomington, IL",Softball,,Team USA
167.6,,46,"Wellington, FL",Equestrian,,Olympian
180.3,,48,Ann Arbor,,,Olympian
195.6,,33,"Atlanta, GA",Basketball,,Team USA
157.5,,30,"Bexley, OH",Diving,,Team USA
172.7,,30,"St. Petersburg, FL",Track and Field,,Olympian
172.7,,39,"Houston, TX",Gymnastics,,Olympian
180.3,,35,Grand Rapids,,,Olympian
198.1,,45,Honolulu,,,Olympian
188.0,,26,"Ferndale, Wash., WA",Rugby,,Team USA
180.3,,31,"Flint, TX",Archery,,Olympian
175.3,,33,"St. Louis, MO",Para Track and Field,,Paralympian
190.5,,34,"Marlboro, NJ",Team Handball,,Team USA
157.5,,25,"Peoria, AZ",Weightlifting,,Team USA
185.4,,31,"Fox River Grove, IL",Ski Jumping,,Team USA
170.2,,34,"Twin Falls, ID",Shooting,,Olympian
182.9,,34,"Piscataway, NJ",Judo,,Olympian
160.0,,27,"Eclectic, AL",Softball,,Team USA
175.3,,30,"St. Paul, MN",Biathlon,,Team USA
180.3,,43,Bellevue,,,Olympian
172.7,,31,"Highland Park, IL",Figure Skating,,Olympian
172.7,,34,"Saint Paul, MN",Biathlon,,Olympian
165.1,,25,"Sanford, FL",Softball,,Team USA
185.4,,38,"Winter Park, FL",Rowing,,Team USA
172.7,,46,"Oceanside, CA",Triathlon,,Paralympian
185.4,,30,"Tempe, AZ",Rugby,,Olympian
160.0,,30,"Falmouth, ME",Para-Cycling,,Paralympian
165.1,,32,"The Colony, TX",Karate,,Team USA
167.6,,25,Oslo,Team Handball,,Team USA
172.7,,33,"Levittown, NY",Softball,,Team USA
182.9,,41,,Ice Hockey,,Olympian
170.2,,50,"Monona, WI",Curling,,Olympian
177.8,,36,Miami,,,Olympian
165.1,,30,"Coopersburg, PA",Speedskating,,Team USA
